id, ra, dec, id_zf, zphot, mass, sn, s11
A2GS1   , 53.118813  , -27.782884  , 17856   , 2.309   , 11.06   , 18.78  ,  2.15
A2GS2   , 53.142840  , -27.827895  , 12333   , 3.556   , 11.09   , 18.65  ,  2.25
A2GS3   , 53.148870  , -27.821185  , 13086   , 2.582   , 11.44   , 18.11  ,  2.11
A2GS4   , 53.063887  , -27.843804  , 10316   , 2.918   , 10.76   , 17.19  ,  2.06
A2GS5   , 53.020352  , -27.779931  , 18282   , 1.797   , 11.09   , 15.80  ,  2.75
A2GS6   , 53.158397  , -27.733588  , 23898   , 3.46    , 11.14   , 14.55  ,  2.15
A2GS7   , 53.079416  , -27.870820  , 6964    , 3.467   , 10.52   , 14.21  ,  2.05
A2GS8   , 53.082752  , -27.866560  , 7867    , 3.29    , 11.44   , 12.07  ,  1.40
A2GS9   , 53.181383  , -27.777572  , 18645   , 2.696   , 10.90   , 11.12  ,  1.41
A2GS10  , 53.074868  , -27.875889  , 6755    , 3.47    , 10.56   , 10.91  ,  1.67
A2GS11  , 53.082069  , -27.767279  , 19833   , 2.41    , 11.33   , 10.39  ,  1.34
A2GS12  , 53.092818  , -27.801328  , 15639   , 3.847   , 10.87   , 9.66   ,  1.39
A2GS13  , 53.157199  , -27.833492  , 11442   , 1.619   , 10.96   , 9.30   ,  1.36
A2GS14  , 53.071752  , -27.843698  , 10241   , 1.956   , 11.19   , 8.30   ,  0.83
A2GS15  , 53.108810  , -27.869037  , 7589    , 3.47    , 10.24   , 8.08   ,  1.24
A2GS16  , 53.068881  , -27.879724  , 6153    , 2.45    , 11.39   , 8.03   ,  1.03
A2GS17  , 53.183697  , -27.836500  , 11353   , 4.64    , 10.39   , 7.96   ,  1.23
A2GS18  , 53.070260  , -27.845595  , 10152   , 3.689   , 10.56   , 7.73   ,  0.83
A2GS19  , 53.131138  , -27.773202  , 19033   , 2.225   , 11.43   , 7.56   ,  0.72
A2GS20  , 53.049739  , -27.770990  , 19463   , 2.68    , 10.72   , 7.49   ,  0.93
A2GS21  , 53.183469  , -27.776661  , 18658   , 2.698   , 10.30   , 7.27   ,  1.49
A2GS22  , 53.092372  , -27.826850  , 12416   , 2.72    , 10.77   , 6.87   ,  1.07
A2GS23  , 53.121858  , -27.752778  , 21730   , 2.00    , 10.76   , 6.68   ,  0.73
A2GS24  , 53.092391  , -27.803269  , 15342   , 2.32    , 11.38   , 6.66   ,  0.85
A2GS25  , 53.160620  , -27.776287  , 18701   , 2.543   , 10.13   , 6.65   ,  0.99
A2GS26  , 53.090782  , -27.782492  , 17976   , 1.927   , 10.64   , 6.55   ,  0.76
A2GS27  , 53.111595  , -27.767864  , 19964   , 4.72    , 11.01   , 6.49   ,  0.64
A2GS28  , 53.137093  , -27.761411  , -1      , 1.967   , 10.71   , 6.49   ,  0.92
A2GS29  , 53.087184  , -27.840242  , -1      , 3.47    , 11.32   , 6.41   ,  0.85
A2GS30  , 53.048384  , -27.770312  , -1      , 3.80    , 11.46   , 6.31   ,  0.71
A2GS31  , 53.224499  , -27.817250  , 13388   , 2.15    , 11.18   , 6.21   ,  0.79
A2GS32  , 53.077331  , -27.859632  , 8449    , 2.251   , 11.55   , 6.02   ,  0.51
A2GS33  , 53.120402  , -27.742111  , -1      , -1      , -1      , 5.91   ,  0.95
A2GS34  , 53.131474  , -27.841396  , 10345   , 1.613   , 11.43   , 5.86   ,  0.74
A2GS35  , 53.069006  , -27.807141  , 14926   , 4.73    , 10.94   , 5.72   ,  0.72
A2GS36  , 53.086635  , -27.810257  , 14543   , 2.36    , 11.27   , 5.69   ,  0.49
A2GS37  , 53.119994  , -27.743167  , 22905   , 3.85    , 11.16   , 5.66   ,  0.71
A2GS38  , 53.206064  , -27.819142  , -1      , -1      , -1      , 5.55   ,  0.70
A2GS39  , 53.091617  , -27.853421  , 9248    , 2.36    , 10.61   , 5.44   ,  0.81
A2GS40  , 53.196569  , -27.757065  , 21234   , 2.46    , 10.21   , 5.44   ,  0.62
A2GS41  , 53.154105  , -27.790947  , 16952   , 1.759   , 10.54   , 5.30   ,  0.79
A2GS42  , 53.154440  , -27.738686  , 23441   , 2.29    , 11.12   , 5.25   ,  0.80
A2GS43  , 53.076655  , -27.873394  , 6921    , 3.54    , 10.54   , 5.12   ,  0.70
A2GS44  , 53.102654  , -27.860660  , 8455    , 4.19    , 11.05   , 5.00   ,  0.76
A2GS45  , 53.161435  , -27.811158  , 14419   , 2.77    , 11.06   , 5.27   ,  0.53
A2GS46  , 53.198290  , -27.747905  , 22177   , 1.910   , 10.96   , 4.92   ,  0.65
A2GS47  , 53.188278  , -27.801928  , 15703   , 3.83    , 10.03   , 4.71   ,  0.37
A2GS48  , 53.082624  , -27.755313  , 21397   , 2.926   , 10.07   , 4.71   ,  0.48
A2GS49  , 53.068362  , -27.867197  , 7676    , 1.973   , 10.31   , 4.65   ,  0.46
A2GS50  , 53.171785  , -27.733608  , 24110   , 2.89    , 10.31   , 4.64   ,  0.42
A2GS51  , 53.207365  , -27.774726  , 18890   , 2.36    , 10.83   , 4.49   ,  0.59
A2GS52  , 53.045714  , -27.815630  , 13780   , 0.88    , 9.54    , 4.48   ,  0.43
A2GS53  , 53.101870  , -27.812437  , 14215   , 2.024   , 10.53   , 4.44   ,  0.40
A2GS54  , 53.064376  , -27.775348  , 18738   , 0.735   , 10.06   , 4.44   ,  0.55
A2GS55  , 53.148238  , -27.839232  , 10844   , 1.545   , 10.76   , 4.44   ,  0.41
A2GS56  , 53.203243  , -27.826719  , 12427   , 2.78    , 11.04   , 4.41   ,  0.62
A2GS57  , 53.064807  , -27.862613  , 8323    , 4.64    , 11.15   , 4.40   ,  0.54
A2GS58  , 53.120073  , -27.808327  , 14700   , 1.83    , 11.03   , 4.33   ,  0.55
A2GS59  , 53.094033  , -27.804167  , 15251   , 2.475   , 11.40   , 4.30   ,  0.42
A2GS60  , 53.202104  , -27.826442  , -1      , 1.120   , 10.53   , 4.28   ,  0.45
A2GS61  , 53.198834  , -27.843955  , 10096   , 1.615   , 11.40   , 4.28   ,  1.01
A2GS62  , 53.202342  , -27.826284  , 12438   , 1.120   , 10.82   , 4.25   ,  0.48
A2GS63  , 53.101527  , -27.869956  , 7453    , 3.19    , 10.54   , 4.21   ,  0.34
A2GS64  , 53.180574  , -27.779729  , 18336   , 2.67    , 10.67   , 4.19   ,  0.53
A2GS65  , 53.060693  , -27.882386  , 5860    , 2.22    , 11.15   , 4.16   ,  0.98
A2GS66  , 53.028301  , -27.778904  , 18460   , 1.686   , 10.81   , 4.16   ,  0.35
A2GS67  , 53.168078  , -27.832547  , 11581   , 0.650   , 10.30   , 4.15   ,  0.60
A2GS68  , 53.100219  , -27.842636  , 10418   , 1.413   , 10.10   , 4.10   ,  0.43
A2GS69  , 53.143518  , -27.783274  , 17733   , 1.414   , 10.89   , 4.09   ,  0.55
A2GS70  , 53.065710  , -27.809225  , 14760   , 2.61    , 9.61    , 4.06   ,  0.46
A2GS71  , 53.127853  , -27.867664  , 7653    , 3.026   , 10.26   , 4.05   ,  0.67
A2GS72  , 53.138771  , -27.805110  , 15233   , 2.28    , 9.37    , 4.04   ,  0.25
A2GS73  , 53.143706  , -27.834860  , 11381   , 1.987   , 10.15   , 4.03   ,  0.40
A2GS74  , 53.089200  , -27.760137  , 20735   , 1.61    , 11.31   , 3.97   ,  0.54
A2GS75  , 53.072754  , -27.834274  , 11449   , 1.618   , 11.25   , 3.96   ,  0.69
A2GS76  , 53.141751  , -27.816725  , 13714   , 2.53    , 11.24   , 3.94   ,  0.39
A2GS77  , 53.196745  , -27.772431  , 19313   , 2.805   , 10.55   , 3.90   ,  0.40
A2GS78  , 53.138604  , -27.821299  , 13269   , 3.65    , 10.15   , 3.89   ,  0.38
A2GS79  , 53.166960  , -27.798800  , 15702   , 1.998   , 10.94   , 3.84   ,  0.44
A2GS80  , 53.176495  , -27.785575  , 17465   , 1.314   , 11.06   , 3.82   ,  0.52
A2GS81  , 53.107330  , -27.804163  , 15305   , 2.66    , 10.63   , 3.82   ,  0.47
A2GS82  , 53.162978  , -27.841940  , 10656   , 4.38    , 10.61   , 3.79   ,  0.40
A2GS83  , 53.169775  , -27.824041  , 12763   , 2.130   , 11.00   , 3.78   ,  0.50
A2GS84  , 53.199969  , -27.774185  , 19133   , 4.36    , 10.74   , 3.71   ,  0.47
A2GS85  , 53.154933  , -27.730797  , 24422   , 2.72    , 10.77   , 3.68   ,  0.65
A2GS86  , 53.180784  , -27.835827  , 11385   , 1.95    , 10.12   , 3.65   ,  0.41
A2GS87  , 53.119150  , -27.814066  , 14122   , 3.32    , 10.56   , 3.63   ,  0.43
A2GS88  , 53.074368  , -27.849730  , 8874    , 0.123   , 10.21   , 3.59   ,  0.41