id, zspec, ra, dec, Te, Te_err, logO2pp, logO2pp_err, logO2p, logO2p_err, logOH, logOH_err
1019  , 8.679, 215.03539, 52.89066 , 17000, 1790, 7.75, 0.11,  6.53, 0.12,  7.78, 0.11
1149  , 8.175, 215.08971, 52.96618 , 16730, 2910, 7.75, 0.19,  6.95, 0.19,  7.82, 0.18
1027  , 7.819, 214.88299, 52.84042 , 18970, 2300, 7.60, 0.13,  6.20, 0.17,  7.62, 0.13
698   , 7.470, 215.05032, 53.00744 , 13330, 2420, 8.01, 0.23,  6.86, 0.23,  8.04, 0.23
792   , 6.257, 214.87177, 52.83317 , 28310, 3380, 7.41, 0.11,  6.64, 0.21,  7.48, 0.12
397   , 6.000, 214.83620, 52.88269 , 14230, 1240, 7.92, 0.10,  7.03, 0.12,  7.98, 0.10
1536  , 5.033, 214.97723, 52.94078 , 24100, 4320, 7.45, 0.14,  6.40, 0.18,  7.48, 0.15
1477  , 4.631, 215.00349, 52.96954 , 18020, 2220, 7.64, 0.13,  6.92, 0.13,  7.72, 0.12
1746  , 4.560, 215.05401, 52.95687 , 15570, 1970, 7.88, 0.14,  7.14, 0.14,  7.95, 0.14
1665  , 4.482, 215.17820, 53.05935 , 11730, 1310, 8.16, 0.15,  7.63, 0.14,  8.27, 0.15
1559  , 4.471, 215.06486, 52.99984 ,  8130, 2950, 7.86, 0.16,  6.60, 0.20,  7.88, 0.16
1651  , 4.375, 215.16922, 53.05477 , 16220, 3270, 7.68, 0.21,  7.03, 0.24,  7.77, 0.21
11728 , 3.869, 215.08487, 52.97074 , 20370, 2580, 7.44, 0.12,  6.23, 0.17,  7.46, 0.12
11088 , 3.302, 214.93421, 52.82637 , 12160, 1630, 8.05, 0.18,  8.01, 0.18,  8.33, 0.14
3788  , 2.295, 214.89079, 52.86870 , 12130,  970, 8.12, 0.10,  7.56, 0.41,  8.23, 0.14
3537  , 2.162, 215.14363, 53.00480 , 24510, 3430, 7.10, 0.11,  5.72, 0.18,  7.12, 0.11