id, name, ra, dec, zspec
8083	, JADES-GS+53.13284-27.80186	, 53.13284, -27.80186	, 4.6482	
1093	, JADES-GN+189.17974+62.22463	, 189.17974, 62.22463	, 5.5951
3608	, JADES-GN+189.11794+62.23552	, 189.11794, 62.23552	, 5.26894	
11836	, JADES-GN+189.22059+62.26368	, 189.22059, 62.26368	, 4.40935	
20621	, JADES-GN+189.12252+62.29285	, 189.12252, 62.29285	, 4.68123	
77652	, JADES-GN+189.29323+62.199	, 189.29323, 62.199	, 5.22943	
61888	, JADES-GN+189.16802+62.21701	, 189.16802, 62.21701	, 5.87461	
62309	, JADES-GN+189.24898+62.21835	, 189.24898, 62.21835	, 5.17241	
 954	, JADES-GN+189.15197+62.25964	, 189.15197, 62.25964	, 6.76026	
10013704 , BLR-JADES-GS+53.12654-27.81809 , 53.12654, -27.81809, 	5.9193
73488	 , BLR-JADES-GN+189.1974+62.17723 , 189.1974, 62.17723, 	4.1332
53757	 , BLR-JADES-GN+189.26978+62.19421, 189.26978, 62.19421, 	4.4480