id, ra, dec, zphot, zphot_err, xi_Ha
JADES-GS+53.18077-27.77446, 53.18077, -27.77446  ,  4.6993  ,  0.0554  ,  25.24  
JADES-GS+53.19605-27.74358, 53.19605, -27.74358  ,  4.6995  ,  0.0500  ,  25.68  
JADES-GS+53.19003-27.77913, 53.19003, -27.77913  ,  4.7013  ,  0.0668  ,  24.99  
JADES-GS+53.17699-27.73459, 53.17699, -27.73459  ,  4.7094  ,  0.0514  ,  25.45  
JADES-GS+53.19298-27.81272, 53.19298, -27.81272  ,  4.7294  ,  0.0546  ,  25.35  
JADES-GS+53.16251-27.73023, 53.16251, -27.73023  ,  4.7295  ,  0.0505  ,  24.83  
JADES-GS+53.18070-27.77445, 53.18070, -27.77445  ,  4.7389  ,  0.0734  ,  25.55  
JADES-GS+53.18133-27.80402, 53.18133, -27.80402  ,  4.7393  ,  0.0558  ,  25.39  
JADES-GS+53.17565-27.81176, 53.17565, -27.81176  ,  4.7395  ,  0.0506  ,  25.77  
JADES-GS+53.16104-27.79298, 53.16104, -27.79298  ,  4.7448  ,  0.0650  ,  25.51  
JADES-GS+53.13992-27.82682, 53.13992, -27.82682  ,  4.7492  ,  0.0606  ,  25.45  
JADES-GS+53.13612-27.80399, 53.13612, -27.80399  ,  4.7494  ,  0.0545  ,  25.46  
JADES-GS+53.19691-27.80582, 53.19691, -27.80582  ,  4.7595  ,  0.0480  ,  25.52  
JADES-GS+53.12739-27.78524, 53.12739, -27.78524  ,  4.7598  ,  0.0546  ,  25.30  
JADES-GS+53.18142-27.82207, 53.18142, -27.82207  ,  4.7620  ,  0.0676  ,  25.36  
JADES-GS+53.13988-27.82677, 53.13988, -27.82677  ,  4.7689  ,  0.0721  ,  25.51  
JADES-GS+53.15810-27.78642, 53.15810, -27.78642  ,  4.7692  ,  0.0621  ,  25.50  
JADES-GS+53.16719-27.77459, 53.16719, -27.77459  ,  4.7721  ,  0.0660  ,  25.66  
JADES-GS+53.15817-27.78648, 53.15817, -27.78648  ,  4.7774  ,  0.0552  ,  25.19  
JADES-GS+53.18532-27.79081, 53.18532, -27.79081  ,  4.7918  ,  0.0560  ,  25.34  
JADES-GS+53.14778-27.82649, 53.14778, -27.82649  ,  4.7990  ,  0.0687  ,  25.45  
JADES-GS+53.16717-27.75995, 53.16717, -27.75995  ,  4.7990  ,  0.0691  ,  24.82  
JADES-GS+53.15500-27.78637, 53.15500, -27.78637  ,  4.7992  ,  0.0620  ,  25.62  
JADES-GS+53.15663-27.72531, 53.15663, -27.72531  ,  4.7994  ,  0.0558  ,  25.47  
JADES-GS+53.16268-27.80237, 53.16268, -27.80237  ,  4.8041  ,  0.0645  ,  25.20  
JADES-GS+53.18381-27.79459, 53.18381, -27.79459  ,  4.8093  ,  0.0579  ,  25.90  
JADES-GS+53.17985-27.80095, 53.17985, -27.80095  ,  4.8117  ,  0.0639  ,  25.37  
JADES-GS+53.17544-27.80644, 53.17544, -27.80644  ,  4.8191  ,  0.0653  ,  25.61  
JADES-GS+53.20065-27.78003, 53.20065, -27.78003  ,  4.8193  ,  0.0574  ,  25.52  
JADES-GS+53.12917-27.79234, 53.12917, -27.79234  ,  4.8194  ,  0.0517  ,  25.33  
JADES-GS+53.20142-27.76088, 53.20142, -27.76088  ,  4.8195  ,  0.0479  ,  25.08  
JADES-GS+53.16453-27.77395, 53.16453, -27.77395  ,  4.8221  ,  0.0756  ,  25.57  
JADES-GS+53.16699-27.77413, 53.16699, -27.77413  ,  4.8290  ,  0.0704  ,  25.43  
JADES-GS+53.14072-27.78675, 53.14072, -27.78675  ,  4.8292  ,  0.0629  ,  25.51  
JADES-GS+53.17776-27.82756, 53.17776, -27.82756  ,  4.8294  ,  0.0540  ,  25.26  
JADES-GS+53.17725-27.83499, 53.17725, -27.83499  ,  4.8295  ,  0.0505  ,  25.60  
JADES-GS+53.17003-27.73659, 53.17003, -27.73659  ,  4.8295  ,  0.0510  ,  25.29  
JADES-GS+53.17784-27.82775, 53.17784, -27.82775  ,  4.8335  ,  0.0506  ,  24.72  
JADES-GS+53.13815-27.82468, 53.13815, -27.82468  ,  4.8391  ,  0.0665  ,  25.55  
JADES-GS+53.17214-27.79516, 53.17214, -27.79516  ,  4.8392  ,  0.0622  ,  24.97  
JADES-GS+53.11548-27.80029, 53.11548, -27.80029  ,  4.8393  ,  0.0562  ,  25.42  
JADES-GS+53.16740-27.76206, 53.16740, -27.76206  ,  4.8492  ,  0.0617  ,  25.10  
JADES-GS+53.19077-27.79041, 53.19077, -27.79041  ,  4.8493  ,  0.0563  ,  25.83  
JADES-GS+53.16722-27.75985, 53.16722, -27.75985  ,  4.8493  ,  0.0565  ,  25.16  
JADES-GS+53.21086-27.77019, 53.21086, -27.77019  ,  4.8494  ,  0.0542  ,  24.97  
JADES-GS+53.17132-27.75346, 53.17132, -27.75346  ,  4.8495  ,  0.0503  ,  24.62  
JADES-GS+53.15193-27.75108, 53.15193, -27.75108  ,  4.8591  ,  0.0667  ,  25.29  
JADES-GS+53.21116-27.77518, 53.21116, -27.77518  ,  4.8592  ,  0.0634  ,  25.13  
JADES-GS+53.12797-27.80988, 53.12797, -27.80988  ,  4.8593  ,  0.0575  ,  25.19  
JADES-GS+53.21372-27.77249, 53.21372, -27.77249  ,  4.8596  ,  0.0443  ,  25.48  
JADES-GS+53.19268-27.78423, 53.19268, -27.78423  ,  4.8692  ,  0.0613  ,  25.55  
JADES-GS+53.21322-27.78167, 53.21322, -27.78167  ,  4.8694  ,  0.0530  ,  25.61  
JADES-GS+53.15427-27.75242, 53.15427, -27.75242  ,  4.8694  ,  0.0543  ,  25.81  
JADES-GS+53.14611-27.78550, 53.14611, -27.78550  ,  4.8778  ,  0.0576  ,  25.37  
JADES-GS+53.15810-27.73709, 53.15810, -27.73709  ,  4.8790  ,  0.0685  ,  25.70  
JADES-GS+53.18906-27.77710, 53.18906, -27.77710  ,  4.8793  ,  0.0577  ,  25.53  
JADES-GS+53.17061-27.75719, 53.17061, -27.75719  ,  4.8892  ,  0.0616  ,  25.25  
JADES-GS+53.18882-27.77720, 53.18882, -27.77720  ,  4.8892  ,  0.0614  ,  25.05  
JADES-GS+53.18887-27.77716, 53.18887, -27.77716  ,  4.8894  ,  0.0544  ,  25.23  
JADES-GS+53.15803-27.73705, 53.15803, -27.73705  ,  4.8894  ,  0.0549  ,  25.46  
JADES-GS+53.22667-27.75935, 53.22667, -27.75935  ,  4.8895  ,  0.0510  ,  25.48  
JADES-GS+53.22670-27.75927, 53.22670, -27.75927  ,  4.8895  ,  0.0518  ,  25.43  
JADES-GS+53.18315-27.77897, 53.18315, -27.77897  ,  4.8987  ,  0.0811  ,  25.51  
JADES-GS+53.13769-27.78135, 53.13769, -27.78135  ,  4.8993  ,  0.0564  ,  25.14  
JADES-GS+53.18519-27.78044, 53.18519, -27.78044  ,  4.8994  ,  0.0555  ,  25.42  
JADES-GS+53.20812-27.78340, 53.20812, -27.78340  ,  4.8995  ,  0.0508  ,  25.25  
JADES-GS+53.18874-27.77713, 53.18874, -27.77713  ,  4.8995  ,  0.0495  ,  25.09  
JADES-GS+53.14197-27.79778, 53.14197, -27.79778  ,  4.8996  ,  0.0456  ,  25.40  
JADES-GS+53.12103-27.81599, 53.12103, -27.81599  ,  4.9191  ,  0.0675  ,  25.38  
JADES-GS+53.15314-27.76629, 53.15314, -27.76629  ,  4.9220  ,  0.0580  ,  25.33  
JADES-GS+53.14364-27.75825, 53.14364, -27.75825  ,  4.9237  ,  0.0490  ,  25.52  
JADES-GS+53.14644-27.76004, 53.14644, -27.76004  ,  4.9242  ,  0.0587  ,  25.40  
JADES-GS+53.14615-27.77786, 53.14615, -27.77786  ,  4.9292  ,  0.0644  ,  25.33  
JADES-GS+53.15323-27.76621, 53.15323, -27.76621  ,  4.9293  ,  0.0573  ,  25.34  
JADES-GS+53.17125-27.77853, 53.17125, -27.77853  ,  4.9342  ,  0.0627  ,  25.40  
JADES-GS+53.17523-27.84120, 53.17523, -27.84120  ,  4.9397  ,  0.0364  ,  25.49  
JADES-GS+53.13158-27.80990, 53.13158, -27.80990  ,  4.9410  ,  0.0640  ,  25.63  
JADES-GS+53.18335-27.79603, 53.18335, -27.79603  ,  4.9428  ,  0.0573  ,  25.51  
JADES-GS+53.16836-27.80420, 53.16836, -27.80420  ,  4.9488  ,  0.0636  ,  25.27  
JADES-GS+53.14690-27.75225, 53.14690, -27.75225  ,  4.9592  ,  0.0625  ,  25.55  
JADES-GS+53.12621-27.82285, 53.12621, -27.82285  ,  4.9650  ,  0.0673  ,  24.97  
JADES-GS+53.14734-27.75192, 53.14734, -27.75192  ,  4.9690  ,  0.0692  ,  25.37  
JADES-GS+53.14277-27.76108, 53.14277, -27.76108  ,  4.9792  ,  0.0624  ,  24.96  
JADES-GS+53.17118-27.77849, 53.17118, -27.77849  ,  4.9891  ,  0.0685  ,  25.42  
JADES-GS+53.14539-27.76247, 53.14539, -27.76247  ,  4.9892  ,  0.0614  ,  25.40  
JADES-GS+53.14398-27.75851, 53.14398, -27.75851  ,  4.9990  ,  0.0708  ,  25.40  
JADES-GS+53.17835-27.73739, 53.17835, -27.73739  ,  4.9992  ,  0.0639  ,  25.51  
JADES-GS+53.16127-27.73752, 53.16127, -27.73752  ,  4.9995  ,  0.0487  ,  25.55  
JADES-GS+53.11629-27.78944, 53.11629, -27.78944  ,  5.0022  ,  0.0522  ,  25.44  
JADES-GS+53.20682-27.77938, 53.20682, -27.77938  ,  5.0094  ,  0.0531  ,  25.53  
JADES-GS+53.13289-27.80643, 53.13289, -27.80643  ,  5.0247  ,  0.0710  ,  25.47  
JADES-GS+53.13076-27.80391, 53.13076, -27.80391  ,  5.0264  ,  0.0643  ,  25.38  
JADES-GS+53.12726-27.81915, 53.12726, -27.81915  ,  5.0289  ,  0.0705  ,  25.40  
JADES-GS+53.13969-27.79650, 53.13969, -27.79650  ,  5.0295  ,  0.0507  ,  25.41  
JADES-GS+53.12752-27.82109, 53.12752, -27.82109  ,  5.0303  ,  0.0674  ,  25.43  
JADES-GS+53.14883-27.82624, 53.14883, -27.82624  ,  5.0304  ,  0.0576  ,  25.55  
JADES-GS+53.16603-27.82394, 53.16603, -27.82394  ,  5.0392  ,  0.0653  ,  25.39  
JADES-GS+53.15638-27.80966, 53.15638, -27.80966  ,  5.0432  ,  0.0769  ,  25.49  
JADES-GS+53.17252-27.76436, 53.17252, -27.76436  ,  5.0497  ,  0.0631  ,  25.43  
JADES-GS+53.14262-27.82566, 53.14262, -27.82566  ,  5.0592  ,  0.0625  ,  25.30  
JADES-GS+53.15324-27.80703, 53.15324, -27.80703  ,  5.0592  ,  0.0645  ,  25.41  
JADES-GS+53.19081-27.74550, 53.19081, -27.74550  ,  5.0594  ,  0.0652  ,  25.19  
JADES-GS+53.15750-27.74417, 53.15750, -27.74417  ,  5.0791  ,  0.0650  ,  25.21  
JADES-GS+53.14657-27.83359, 53.14657, -27.83359  ,  5.1118  ,  0.0458  ,  25.51  
JADES-GS+53.13133-27.80687, 53.13133, -27.80687  ,  5.1198  ,  0.0699  ,  25.32  
JADES-GS+53.13266-27.79904, 53.13266, -27.79904  ,  5.1231  ,  0.0645  ,  25.58  
JADES-GS+53.11907-27.81755, 53.11907, -27.81755  ,  5.1266  ,  0.0558  ,  25.41  
JADES-GS+53.16733-27.73792, 53.16733, -27.73792  ,  5.1271  ,  0.0617  ,  25.49  
JADES-GS+53.16394-27.73512, 53.16394, -27.73512  ,  5.1281  ,  0.0746  ,  25.27  
JADES-GS+53.17846-27.78828, 53.17846, -27.78828  ,  5.1383  ,  0.0625  ,  25.50  
JADES-GS+53.17926-27.79218, 53.17926, -27.79218  ,  5.1394  ,  0.0592  ,  25.27  
JADES-GS+53.14988-27.81074, 53.14988, -27.81074  ,  5.1552  ,  0.0557  ,  25.25  
JADES-GS+53.13271-27.79898, 53.13271, -27.79898  ,  5.1589  ,  0.0741  ,  25.52  
JADES-GS+53.17243-27.74545, 53.17243, -27.74545  ,  5.1792  ,  0.0629  ,  25.62  
JADES-GS+53.17852-27.78833, 53.17852, -27.78833  ,  5.1889  ,  0.0744  ,  25.35  
JADES-GS+53.15353-27.83559, 53.15353, -27.83559  ,  5.1894  ,  0.0564  ,  25.76  
JADES-GS+53.13549-27.76629, 53.13549, -27.76629  ,  5.1968  ,  0.0558  ,  25.29  
JADES-GS+53.19088-27.79043, 53.19088, -27.79043  ,  5.1988  ,  0.0782  ,  25.02  
JADES-GS+53.12139-27.79722, 53.12139, -27.79722  ,  5.2190  ,  0.0714  ,  25.42  
JADES-GS+53.16858-27.73726, 53.16858, -27.73726  ,  5.2357  ,  0.0489  ,  25.67  
JADES-GS+53.15489-27.81150, 53.15489, -27.81150  ,  5.2453  ,  0.0621  ,  25.25  
JADES-GS+53.17058-27.73562, 53.17058, -27.73562  ,  5.2456  ,  0.0697  ,  25.34  
JADES-GS+53.18831-27.81283, 53.18831, -27.81283  ,  5.2476  ,  0.0526  ,  25.42  
JADES-GS+53.17090-27.76234, 53.17090, -27.76234  ,  5.2485  ,  0.0896  ,  25.38  
JADES-GS+53.16470-27.76965, 53.16470, -27.76965  ,  5.2491  ,  0.0699  ,  25.33  
JADES-GS+53.17026-27.76291, 53.17026, -27.76291  ,  5.2587  ,  0.0821  ,  25.33  
JADES-GS+53.15105-27.78294, 53.15105, -27.78294  ,  5.2597  ,  0.0628  ,  25.25  
JADES-GS+53.17023-27.76296, 53.17023, -27.76296  ,  5.2617  ,  0.0724  ,  25.32  
JADES-GS+53.16758-27.76550, 53.16758, -27.76550  ,  5.2637  ,  0.0637  ,  25.57  
JADES-GS+53.17080-27.76230, 53.17080, -27.76230  ,  5.2637  ,  0.0724  ,  25.70  
JADES-GS+53.16646-27.74697, 53.16646, -27.74697  ,  5.2645  ,  0.0670  ,  25.11  
JADES-GS+53.17183-27.73771, 53.17183, -27.73771  ,  5.2678  ,  0.0558  ,  25.27  
JADES-GS+53.17838-27.81632, 53.17838, -27.81632  ,  5.2775  ,  0.0655  ,  25.42  
JADES-GS+53.17530-27.84117, 53.17530, -27.84117  ,  5.2918  ,  0.0542  ,  25.51  
JADES-GS+53.19272-27.79245, 53.19272, -27.79245  ,  5.3004  ,  0.0495  ,  25.62  
JADES-GS+53.12819-27.78769, 53.12819, -27.78769  ,  5.3344  ,  0.0722  ,  25.42  
JADES-GS+53.20909-27.77260, 53.20909, -27.77260  ,  5.3391  ,  0.0703  ,  25.23  
JADES-GS+53.15584-27.76672, 53.15584, -27.76672  ,  5.3471  ,  0.0686  ,  25.45  
JADES-GS+53.12644-27.79200, 53.12644, -27.79200  ,  5.3746  ,  0.0581  ,  25.47  
JADES-GS+53.12775-27.78098, 53.12775, -27.78098  ,  5.3751  ,  0.0650  ,  25.38  
JADES-GS+53.16729-27.75273, 53.16729, -27.75273  ,  5.3785  ,  0.0617  ,  25.28  
JADES-GS+53.14381-27.80835, 53.14381, -27.80835  ,  5.4189  ,  0.0763  ,  25.27  
JADES-GS+53.10726-27.81102, 53.10726, -27.81102  ,  5.4290  ,  0.0729  ,  25.90  
JADES-GS+53.14076-27.76257, 53.14076, -27.76257  ,  5.4290  ,  0.0723  ,  -1.0  
JADES-GS+53.14676-27.79738, 53.14676, -27.79738  ,  5.4294  ,  0.0578  ,  25.36  
JADES-GS+53.12301-27.79661, 53.12301, -27.79661  ,  5.4393  ,  0.0601  ,  25.57  
JADES-GS+53.12247-27.79653, 53.12247, -27.79653  ,  5.4418  ,  0.0666  ,  25.49  
JADES-GS+53.16407-27.79972, 53.16407, -27.79972  ,  5.4422  ,  0.0826  ,  25.40  
JADES-GS+53.12874-27.79788, 53.12874, -27.79788  ,  5.4430  ,  0.0572  ,  25.41  
JADES-GS+53.11439-27.79211, 53.11439, -27.79211  ,  5.4486  ,  0.0550  ,  25.56  
JADES-GS+53.18044-27.77066, 53.18044, -27.77066  ,  5.4542  ,  0.0586  ,  25.49  
JADES-GS+53.16578-27.78490, 53.16578, -27.78490  ,  5.4629  ,  0.0623  ,  25.41  
JADES-GS+53.16904-27.78769, 53.16904, -27.78769  ,  5.4639  ,  0.0559  ,  25.48  
JADES-GS+53.16610-27.78573, 53.16610, -27.78573  ,  5.4658  ,  0.0614  ,  25.56  
JADES-GS+53.14072-27.76263, 53.14072, -27.76263  ,  5.4695  ,  0.0501  ,  25.42  
JADES-GS+53.16501-27.78493, 53.16501, -27.78493  ,  5.4712  ,  0.0558  ,  25.60  
JADES-GS+53.16570-27.78494, 53.16570, -27.78494  ,  5.4722  ,  0.0545  ,  25.33  
JADES-GS+53.13902-27.79039, 53.13902, -27.79039  ,  5.4791  ,  0.0686  ,  25.56  
JADES-GS+53.18047-27.83174, 53.18047, -27.83174  ,  5.4992  ,  0.0653  ,  25.49  
JADES-GS+53.15677-27.83941, 53.15677, -27.83941  ,  5.5145  ,  0.0647  ,  25.30  
JADES-GS+53.16577-27.73458, 53.16577, -27.73458  ,  5.5170  ,  0.0617  ,  25.23  
JADES-GS+53.12266-27.78684, 53.12266, -27.78684  ,  5.5194  ,  0.0583  ,  25.37  
JADES-GS+53.14736-27.74928, 53.14736, -27.74928  ,  5.5207  ,  0.0668  ,  -1.0  
JADES-GS+53.14667-27.78621, 53.14667, -27.78621  ,  5.5214  ,  0.0554  ,  25.12  
JADES-GS+53.15314-27.73717, 53.15314, -27.73717  ,  5.5252  ,  0.0837  ,  -1.0  
JADES-GS+53.14702-27.82656, 53.14702, -27.82656  ,  5.5293  ,  0.0603  ,  25.09  
JADES-GS+53.13455-27.77667, 53.13455, -27.77667  ,  5.5378  ,  0.0812  ,  25.14  
JADES-GS+53.14196-27.77299, 53.14196, -27.77299  ,  5.5414  ,  0.0643  ,  -1.0  
JADES-GS+53.13198-27.77919, 53.13198, -27.77919  ,  5.5426  ,  0.0552  ,  25.29  
JADES-GS+53.14626-27.80261, 53.14626, -27.80261  ,  5.5478  ,  0.0605  ,  25.50  
JADES-GS+53.15535-27.73753, 53.15535, -27.73753  ,  5.5481  ,  0.0616  ,  -1.0  
JADES-GS+53.20393-27.78103, 53.20393, -27.78103  ,  5.5494  ,  0.0600  ,  24.84  
JADES-GS+53.16168-27.76318, 53.16168, -27.76318  ,  5.5512  ,  0.0664  ,  -1.0  
JADES-GS+53.14288-27.79793, 53.14288, -27.79793  ,  5.5528  ,  0.0678  ,  -1.0  
JADES-GS+53.14290-27.79809, 53.14290, -27.79809  ,  5.5572  ,  0.0732  ,  25.27  
JADES-GS+53.20958-27.77771, 53.20958, -27.77771  ,  5.5593  ,  0.0603  ,  -1.0  
JADES-GS+53.14398-27.79874, 53.14398, -27.79874  ,  5.5594  ,  0.0562  ,  24.88  
JADES-GS+53.12973-27.80818, 53.12973, -27.80818  ,  5.5595  ,  0.0550  ,  25.36  
JADES-GS+53.15191-27.80958, 53.15191, -27.80958  ,  5.5597  ,  0.0679  ,  -1.0  
JADES-GS+53.14396-27.79896, 53.14396, -27.79896  ,  5.5619  ,  0.0584  ,  -1.0  
JADES-GS+53.14719-27.79315, 53.14719, -27.79315  ,  5.5621  ,  0.0720  ,  -1.0  
JADES-GS+53.13005-27.77839, 53.13005, -27.77839  ,  5.5642  ,  0.0675  ,  -1.0  
JADES-GS+53.18064-27.79038, 53.18064, -27.79038  ,  5.5656  ,  0.0633  ,  -1.0  
JADES-GS+53.11154-27.79807, 53.11154, -27.79807  ,  5.5693  ,  0.0642  ,  25.43  
JADES-GS+53.18851-27.81944, 53.18851, -27.81944  ,  5.5727  ,  0.0517  ,  -1.0  
JADES-GS+53.15255-27.81967, 53.15255, -27.81967  ,  5.5794  ,  0.0578  ,  25.17  
JADES-GS+53.18845-27.81950, 53.18845, -27.81950  ,  5.5794  ,  0.0590  ,  -1.0  
JADES-GS+53.12401-27.79840, 53.12401, -27.79840  ,  5.5895  ,  0.0550  ,  25.09  
JADES-GS+53.18064-27.82239, 53.18064, -27.82239  ,  5.6049  ,  0.0517  ,  25.31  
JADES-GS+53.15953-27.79765, 53.15953, -27.79765  ,  5.6078  ,  0.0496  ,  25.21  
JADES-GS+53.17747-27.83105, 53.17747, -27.83105  ,  5.6092  ,  0.0674  ,  25.55  
JADES-GS+53.18020-27.75286, 53.18020, -27.75286  ,  5.6147  ,  0.0654  ,  25.04  
JADES-GS+53.17560-27.79589, 53.17560, -27.79589  ,  5.6175  ,  0.0675  ,  25.76  
JADES-GS+53.17350-27.82507, 53.17350, -27.82507  ,  5.6192  ,  0.0690  ,  25.31  
JADES-GS+53.15830-27.73651, 53.15830, -27.73651  ,  5.6291  ,  0.0694  ,  24.87  
JADES-GS+53.19376-27.79984, 53.19376, -27.79984  ,  5.6293  ,  0.0640  ,  25.23  
JADES-GS+53.15806-27.81801, 53.15806, -27.81801  ,  5.6308  ,  0.0699  ,  25.03  
JADES-GS+53.16245-27.83057, 53.16245, -27.83057  ,  5.6435  ,  0.0683  ,  25.58  
JADES-GS+53.14468-27.83103, 53.14468, -27.83103  ,  5.6493  ,  0.0621  ,  25.51  
JADES-GS+53.17835-27.77879, 53.17835, -27.77879  ,  5.6693  ,  0.0627  ,  25.34  
JADES-GS+53.11052-27.79849, 53.11052, -27.79849  ,  5.6991  ,  0.0721  ,  -1.0  
JADES-GS+53.11776-27.81653, 53.11776, -27.81653  ,  5.6994  ,  0.0569  ,  25.22  
JADES-GS+53.20631-27.77572, 53.20631, -27.77572  ,  5.7295  ,  0.0554  ,  -1.0  
JADES-GS+53.15825-27.74091, 53.15825, -27.74091  ,  5.7423  ,  0.0607  ,  25.81  
JADES-GS+53.17623-27.75347, 53.17623, -27.75347  ,  5.7492  ,  0.0665  ,  25.54  
JADES-GS+53.18200-27.81477, 53.18200, -27.81477  ,  5.7492  ,  0.0668  ,  -1.0  
JADES-GS+53.12046-27.80650, 53.12046, -27.80650  ,  5.7592  ,  0.0671  ,  24.94  
JADES-GS+53.21491-27.76673, 53.21491, -27.76673  ,  5.7593  ,  0.0650  ,  -1.0  
JADES-GS+53.20201-27.77958, 53.20201, -27.77958  ,  5.7595  ,  0.0559  ,  -1.0  
JADES-GS+53.11538-27.81477, 53.11538, -27.81477  ,  5.7611  ,  0.0711  ,  25.62  
JADES-GS+53.15624-27.83617, 53.15624, -27.83617  ,  5.7619  ,  0.0730  ,  25.32  
JADES-GS+53.13600-27.79849, 53.13600, -27.79849  ,  5.774   ,  0.0603  ,  25.63  
JADES-GS+53.17053-27.84422, 53.17053, -27.84422  ,  5.7748  ,  0.0633  ,  25.65  
JADES-GS+53.16712-27.79424, 53.16712, -27.79424  ,  5.7758  ,  0.0759  ,  25.29  
JADES-GS+53.13184-27.77377, 53.13184, -27.77377  ,  5.7762  ,  0.0686  ,  25.39  
JADES-GS+53.11872-27.78545, 53.11872, -27.78545  ,  5.7772  ,  0.0645  ,  25.16  
JADES-GS+53.12493-27.78420, 53.12493, -27.78420  ,  5.7801  ,  0.0708  ,  25.00  
JADES-GS+53.15429-27.75659, 53.15429, -27.75659  ,  5.8092  ,  0.0701  ,  25.49  
JADES-GS+53.16685-27.80413, 53.16685, -27.80413  ,  5.8094  ,  0.0574  ,  25.30  
JADES-GS+53.12243-27.80591, 53.12243, -27.80591  ,  5.8095  ,  0.0549  ,  25.04  
JADES-GS+53.19850-27.78080, 53.19850, -27.78080  ,  5.8190  ,  0.0758  ,  -1.0  
JADES-GS+53.16674-27.80425, 53.16674, -27.80425  ,  5.8191  ,  0.0665  ,  25.27  
JADES-GS+53.12276-27.79464, 53.12276, -27.79464  ,  5.8195  ,  0.0562  ,  -1.0  
JADES-GS+53.14196-27.75524, 53.14196, -27.75524  ,  5.8227  ,  0.0592  ,  25.14  
JADES-GS+53.11946-27.80002, 53.11946, -27.80002  ,  5.8291  ,  0.0736  ,  25.46  
