id, ra, dec, zphot, zphot_err, xi_Ha
JADES-GS+53.20827-27.78234, 53.20827, -27.78234  ,  5.8291  ,  0.0734  ,  25.30  
JADES-GS+53.11348-27.79595, 53.11348, -27.79595  ,  5.8293  ,  0.0644  ,  -1.0  
JADES-GS+53.15530-27.80556, 53.15530, -27.80556  ,  5.8294  ,  0.0568  ,  25.09  
JADES-GS+53.14282-27.75389, 53.14282, -27.75389  ,  5.8295  ,  0.0563  ,  -1.0  
JADES-GS+53.17986-27.80828, 53.17986, -27.80828  ,  5.8326  ,  0.0721  ,  25.91  
JADES-GS+53.14612-27.81905, 53.14612, -27.81905  ,  5.8395  ,  0.0550  ,  25.90  
JADES-GS+53.16163-27.78642, 53.16163, -27.78642  ,  5.8490  ,  0.0775  ,  25.26  
JADES-GS+53.18393-27.80759, 53.18393, -27.80759  ,  5.8492  ,  0.0670  ,  -1.0  
JADES-GS+53.18628-27.77936, 53.18628, -27.77936  ,  5.8492  ,  0.0664  ,  -1.0  
JADES-GS+53.16581-27.77611, 53.16581, -27.77611  ,  5.8493  ,  0.0644  ,  -1.0  
JADES-GS+53.12230-27.80586, 53.12230, -27.80586  ,  5.8493  ,  0.0640  ,  -1.0  
JADES-GS+53.12487-27.78413, 53.12487, -27.78413  ,  5.8595  ,  0.0514  ,  -1.0  
JADES-GS+53.14930-27.81365, 53.14930, -27.81365  ,  5.8695  ,  0.0561  ,  25.60  
JADES-GS+53.13837-27.77877, 53.13837, -27.77877  ,  5.8792  ,  0.0688  ,  -1.0  
JADES-GS+53.17830-27.77728, 53.17830, -27.77728  ,  5.8793  ,  0.0655  ,  25.27  
JADES-GS+53.17657-27.77113, 53.17657, -27.77113  ,  5.8871  ,  0.0712  ,  -1.0  
JADES-GS+53.17652-27.77108, 53.17652, -27.77108  ,  5.8892  ,  0.0705  ,  25.47  
JADES-GS+53.17163-27.82087, 53.17163, -27.82087  ,  5.8892  ,  0.0675  ,  -1.0  
JADES-GS+53.13884-27.76264, 53.13884, -27.76264  ,  5.8992  ,  0.0706  ,  25.70  
JADES-GS+53.13485-27.78418, 53.13485, -27.78418  ,  5.8993  ,  0.0659  ,  25.40  
JADES-GS+53.16248-27.79273, 53.16248, -27.79273  ,  5.8994  ,  0.0691  ,  25.18  
JADES-GS+53.12991-27.77842, 53.12991, -27.77842  ,  5.8994  ,  0.0602  ,  25.10  
JADES-GS+53.16576-27.80345, 53.16576, -27.80345  ,  5.9091  ,  0.0725  ,  25.47  
JADES-GS+53.14078-27.80218, 53.14078, -27.80218  ,  5.9135  ,  0.0928  ,  25.73  
JADES-GS+53.12654-27.81809, 53.12654, -27.81809  ,  5.9183  ,  0.0658  ,  -1.0  
JADES-GS+53.14208-27.77985, 53.14208, -27.77985  ,  5.9190  ,  0.0664  ,  25.65  
JADES-GS+53.13907-27.81278, 53.13907, -27.81278  ,  5.9190  ,  0.0779  ,  -1.0  
JADES-GS+53.17051-27.81249, 53.17051, -27.81249  ,  5.9193  ,  0.0625  ,  25.27  
JADES-GS+53.16279-27.76084, 53.16279, -27.76084  ,  5.9195  ,  0.0665  ,  25.58  
JADES-GS+53.17992-27.75495, 53.17992, -27.75495  ,  5.9244  ,  0.0676  ,  25.51  
JADES-GS+53.14609-27.79457, 53.14609, -27.79457  ,  5.9269  ,  0.0735  ,  25.26  
JADES-GS+53.13930-27.79587, 53.13930, -27.79587  ,  5.9289  ,  0.0679  ,  25.23  
JADES-GS+53.17008-27.77512, 53.17008, -27.77512  ,  5.9293  ,  0.0658  ,  25.08  
JADES-GS+53.15195-27.77826, 53.15195, -27.77826  ,  5.9294  ,  0.1053  ,  25.32  
JADES-GS+53.13045-27.80237, 53.13045, -27.80237  ,  5.9295  ,  0.0701  ,  25.31  
JADES-GS+53.15091-27.79715, 53.15091, -27.79715  ,  5.9295  ,  0.0560  ,  25.86  
JADES-GS+53.12176-27.79764, 53.12176, -27.79764  ,  5.9318  ,  0.1375  ,  25.57  
JADES-GS+53.11749-27.80526, 53.11749, -27.80526  ,  5.9333  ,  0.0719  ,  -1.0  
JADES-GS+53.10976-27.80748, 53.10976, -27.80748  ,  5.9334  ,  0.0611  ,  25.29  
JADES-GS+53.11042-27.80892, 53.11042, -27.80892  ,  5.9353  ,  0.0621  ,  25.10  
JADES-GS+53.13635-27.77709, 53.13635, -27.77709  ,  5.9491  ,  0.0747  ,  -1.0  
JADES-GS+53.20054-27.79233, 53.20054, -27.79233  ,  5.9492  ,  0.0684  ,  24.97  
JADES-GS+53.20448-27.77445, 53.20448, -27.77445  ,  5.9492  ,  0.0707  ,  25.32  
JADES-GS+53.20239-27.77158, 53.20239, -27.77158  ,  5.9497  ,  0.0455  ,  -1.0  
JADES-GS+53.16723-27.74678, 53.16723, -27.74678  ,  5.9591  ,  0.0743  ,  24.98  
JADES-GS+53.18817-27.80149, 53.18817, -27.80149  ,  5.9596  ,  0.0491  ,  -1.0  
JADES-GS+53.14488-27.76549, 53.14488, -27.76549  ,  5.9691  ,  0.0746  ,  25.57  
JADES-GS+53.14617-27.76373, 53.14617, -27.76373  ,  5.9691  ,  0.0735  ,  -1.0  
JADES-GS+53.17417-27.73407, 53.17417, -27.73407  ,  5.9692  ,  0.0680  ,  25.42  
JADES-GS+53.17922-27.75872, 53.17922, -27.75872  ,  5.9692  ,  0.0683  ,  -1.0  
JADES-GS+53.12788-27.78197, 53.12788, -27.78197  ,  5.9693  ,  0.0635  ,  -1.0  
JADES-GS+53.13021-27.77836, 53.13021, -27.77836  ,  5.9693  ,  0.0668  ,  -1.0  
JADES-GS+53.17890-27.76187, 53.17890, -27.76187  ,  5.9694  ,  0.0621  ,  25.71  
JADES-GS+53.19817-27.78654, 53.19817, -27.78654  ,  5.9694  ,  0.0582  ,  25.50  
JADES-GS+53.17412-27.82684, 53.17412, -27.82684  ,  5.9694  ,  0.0610  ,  -1.0  
JADES-GS+53.20211-27.77950, 53.20211, -27.77950  ,  5.9696  ,  0.0504  ,  25.65  
JADES-GS+53.16062-27.77161, 53.16062, -27.77161  ,  5.9722  ,  0.0710  ,  -1.0  
JADES-GS+53.17266-27.76712, 53.17266, -27.76712  ,  5.9787  ,  0.0719  ,  25.37  
JADES-GS+53.17799-27.80335, 53.17799, -27.80335  ,  5.9789  ,  0.0826  ,  25.57  
JADES-GS+53.18732-27.76887, 53.18732, -27.76887  ,  5.9789  ,  0.0689  ,  25.26  
JADES-GS+53.21707-27.76246, 53.21707, -27.76246  ,  5.9792  ,  0.0709  ,  25.42  
JADES-GS+53.14505-27.76278, 53.14505, -27.76278  ,  5.9794  ,  0.0592  ,  -1.0  
JADES-GS+53.19253-27.75315, 53.19253, -27.75315  ,  5.9794  ,  0.0578  ,  25.88  
JADES-GS+53.16456-27.74615, 53.16456, -27.74615  ,  5.9795  ,  0.0572  ,  25.69  
JADES-GS+53.19582-27.74573, 53.19582, -27.74573  ,  5.9796  ,  0.0511  ,  25.93  
JADES-GS+53.17587-27.82007, 53.17587, -27.82007  ,  5.9871  ,  0.0783  ,  25.23  
JADES-GS+53.18932-27.76979, 53.18932, -27.76979  ,  5.9891  ,  0.0729  ,  -1.0  
JADES-GS+53.14790-27.76320, 53.14790, -27.76320  ,  5.9891  ,  0.0723  ,  24.90  
JADES-GS+53.19475-27.76878, 53.19475, -27.76878  ,  5.9892  ,  0.0688  ,  25.32  
JADES-GS+53.15217-27.76817, 53.15217, -27.76817  ,  5.9892  ,  0.0675  ,  25.82  
JADES-GS+53.19904-27.77258, 53.19904, -27.77258  ,  5.9892  ,  0.0690  ,  25.96  
JADES-GS+53.11267-27.79696, 53.11267, -27.79696  ,  5.9893  ,  0.0626  ,  25.37  
JADES-GS+53.14388-27.79309, 53.14388, -27.79309  ,  5.9893  ,  0.0625  ,  25.15  
JADES-GS+53.12761-27.81758, 53.12761, -27.81758  ,  5.9893  ,  0.0669  ,  25.31  
JADES-GS+53.16190-27.73993, 53.16190, -27.73993  ,  5.9893  ,  0.0649  ,  -1.0  
JADES-GS+53.18552-27.82272, 53.18552, -27.82272  ,  5.9893  ,  0.0646  ,  -1.0  
JADES-GS+53.17316-27.83726, 53.17316, -27.83726  ,  5.9894  ,  0.0580  ,  25.78  
JADES-GS+53.14227-27.80684, 53.14227, -27.80684  ,  5.9894  ,  0.0605  ,  -1.0  
JADES-GS+53.20645-27.77960, 53.20645, -27.77960  ,  5.9894  ,  0.0618  ,  -1.0  
JADES-GS+53.19240-27.79600, 53.19240, -27.79600  ,  5.9895  ,  0.0537  ,  25.98  
JADES-GS+53.20300-27.77614, 53.20300, -27.77614  ,  5.9895  ,  0.0556  ,  25.11  
JADES-GS+53.14604-27.79056, 53.14604, -27.79056  ,  5.9991  ,  0.0719  ,  25.26  
JADES-GS+53.21146-27.78156, 53.21146, -27.78156  ,  5.9991  ,  0.0723  ,  25.23  
JADES-GS+53.20696-27.77604, 53.20696, -27.77604  ,  5.9991  ,  0.0716  ,  25.51  
JADES-GS+53.17156-27.82082, 53.17156, -27.82082  ,  5.9992  ,  0.0707  ,  25.52  
JADES-GS+53.14502-27.76288, 53.14502, -27.76288  ,  5.9992  ,  0.0712  ,  25.64  
JADES-GS+53.17585-27.81998, 53.17585, -27.81998  ,  5.9993  ,  0.0665  ,  25.49  
JADES-GS+53.16896-27.80877, 53.16896, -27.80877  ,  5.9993  ,  0.0655  ,  25.70  
JADES-GS+53.21350-27.78047, 53.21350, -27.78047  ,  5.9994  ,  0.0588  ,  25.40  
JADES-GS+53.13023-27.77997, 53.13023, -27.77997  ,  5.9994  ,  0.0618  ,  -1.0  
JADES-GS+53.19573-27.77520, 53.19573, -27.77520  ,  5.9994  ,  0.0586  ,  -1.0  
JADES-GS+53.14986-27.75283, 53.14986, -27.75283  ,  5.9994  ,  0.0605  ,  -1.0  
JADES-GS+53.14554-27.76505, 53.14554, -27.76505  ,  5.9995  ,  0.0540  ,  25.83  
JADES-GS+53.17323-27.79568, 53.17323, -27.79568  ,  6.0001  ,  0.0757  ,  25.05  
JADES-GS+53.17262-27.76705, 53.17262, -27.76705  ,  6.0088  ,  0.0847  ,  25.47  
JADES-GS+53.17168-27.77970, 53.17168, -27.77970  ,  6.0091  ,  0.0726  ,  25.71  
JADES-GS+53.19081-27.76400, 53.19081, -27.76400  ,  6.0091  ,  0.0725  ,  25.54  
JADES-GS+53.15209-27.77824, 53.15209, -27.77824  ,  6.0091  ,  0.0727  ,  25.40  
JADES-GS+53.17750-27.80252, 53.17750, -27.80252  ,  6.0092  ,  0.0711  ,  25.32  
JADES-GS+53.14806-27.83495, 53.14806, -27.83495  ,  6.0092  ,  0.0712  ,  25.51  
JADES-GS+53.21386-27.77923, 53.21386, -27.77923  ,  6.0093  ,  0.0658  ,  25.56  
JADES-GS+53.15218-27.77840, 53.15218, -27.77840  ,  6.0191  ,  0.0746  ,  25.63  
JADES-GS+53.19281-27.76581, 53.19281, -27.76581  ,  6.0192  ,  0.0696  ,  25.67  
JADES-GS+53.18636-27.76607, 53.18636, -27.76607  ,  6.0195  ,  0.0563  ,  25.08  
JADES-GS+53.20608-27.77472, 53.20608, -27.77472  ,  6.0290  ,  0.0781  ,  25.14  
JADES-GS+53.12664-27.81773, 53.12664, -27.81773  ,  6.0292  ,  0.0713  ,  -1.0  
JADES-GS+53.19940-27.79629, 53.19940, -27.79629  ,  6.0293  ,  0.0651  ,  -1.0  
JADES-GS+53.21259-27.77189, 53.21259, -27.77189  ,  6.0294  ,  0.0589  ,  25.21  
JADES-GS+53.10978-27.80769, 53.10978, -27.80769  ,  6.0294  ,  0.0609  ,  25.86  
JADES-GS+53.14615-27.74915, 53.14615, -27.74915  ,  6.0295  ,  0.0557  ,  25.72  
JADES-GS+53.16721-27.82701, 53.16721, -27.82701  ,  6.0295  ,  0.0568  ,  25.05  
JADES-GS+53.11045-27.80704, 53.11045, -27.80704  ,  6.0392  ,  0.0708  ,  25.06  
JADES-GS+53.16893-27.80941, 53.16893, -27.80941  ,  6.0394  ,  0.0612  ,  25.63  
JADES-GS+53.16200-27.73994, 53.16200, -27.73994  ,  6.0395  ,  0.0559  ,  -1.0  
JADES-GS+53.13622-27.82240, 53.13622, -27.82240  ,  6.0494  ,  0.0602  ,  25.18  
JADES-GS+53.16249-27.73414, 53.16249, -27.73414  ,  6.0495  ,  0.0563  ,  25.53  
JADES-GS+53.16654-27.73149, 53.16654, -27.73149  ,  6.0692  ,  0.0692  ,  25.82  
JADES-GS+53.19588-27.76843, 53.19588, -27.76843  ,  6.0792  ,  0.0696  ,  25.30  
JADES-GS+53.16159-27.73174, 53.16159, -27.73174  ,  6.0889  ,  0.0835  ,  25.54  
JADES-GS+53.15618-27.77576, 53.15618, -27.77576  ,  6.0971  ,  0.1065  ,  25.19  
JADES-GS+53.17929-27.77331, 53.17929, -27.77331  ,  6.0982  ,  0.0883  ,  25.52  
JADES-GS+53.15578-27.74613, 53.15578, -27.74613  ,  6.0991  ,  0.0760  ,  25.06  
JADES-GS+53.16257-27.78037, 53.16257, -27.78037  ,  6.1092  ,  0.0693  ,  24.95  
JADES-GS+53.15230-27.81274, 53.15230, -27.81274  ,  6.2388  ,  0.0859  ,  25.61  
JADES-GS+53.16900-27.80079, 53.16900, -27.80079  ,  6.2595  ,  0.0567  ,  25.79  
JADES-GS+53.18209-27.81817, 53.18209, -27.81817  ,  6.2692  ,  0.0697  ,  25.53  
JADES-GS+53.19177-27.74583, 53.19177, -27.74583  ,  6.2845  ,  0.0696  ,  -1.0  
JADES-GS+53.16611-27.77204, 53.16611, -27.77204  ,  6.3059  ,  0.1230  ,  -1.0  
JADES-GS+53.17834-27.80097, 53.17834, -27.80097  ,  6.3292  ,  0.0843  ,  25.34  
JADES-GS+53.13492-27.77271, 53.13492, -27.77271  ,  6.3327  ,  0.0903  ,  25.19  
JADES-GS+53.17582-27.77448, 53.17582, -27.77448  ,  6.3372  ,  0.0691  ,  25.10  
JADES-GS+53.12556-27.78677, 53.12556, -27.78677  ,  6.3390  ,  0.0798  ,  25.54  
JADES-GS+53.16887-27.76298, 53.16887, -27.76298  ,  6.3889  ,  0.0855  ,  25.62  
JADES-GS+53.19404-27.80293, 53.19404, -27.80293  ,  6.3892  ,  0.0706  ,  25.53  
JADES-GS+53.14795-27.75993, 53.14795, -27.75993  ,  6.3985  ,  0.0974  ,  -1.0  
JADES-GS+53.14379-27.76817, 53.14379, -27.76817  ,  6.3989  ,  0.0830  ,  25.02  
JADES-GS+53.14539-27.82697, 53.14539, -27.82697  ,  6.4290  ,  0.0782  ,  25.38  
JADES-GS+53.19548-27.80541, 53.19548, -27.80541  ,  6.4495  ,  0.0544  ,  25.24  
JADES-GS+53.18824-27.76359, 53.18824, -27.76359  ,  6.4790  ,  0.0818  ,  25.23  
JADES-GS+53.14617-27.74689, 53.14617, -27.74689  ,  6.4791  ,  0.0754  ,  25.61  
JADES-GS+53.15324-27.79830, 53.15324, -27.79830  ,  6.4890  ,  0.0795  ,  25.18  
JADES-GS+53.15515-27.76073, 53.15515, -27.76073  ,  6.4988  ,  0.0888  ,  25.46  
JADES-GS+53.13091-27.80767, 53.13091, -27.80767  ,  6.5091  ,  0.0758  ,  24.93  
JADES-GS+53.16951-27.75331, 53.16951, -27.75331  ,  6.5490  ,  0.0818  ,  24.97  
JADES-GS+53.17132-27.74974, 53.17132, -27.74974  ,  6.5593  ,  0.0681  ,  25.16  
JADES-GS+53.17433-27.74387, 53.17433, -27.74387  ,  6.5791  ,  0.0784  ,  25.71  
JADES-GS+53.12554-27.78683, 53.12554, -27.78683  ,  6.5793  ,  0.0681  ,  25.20  
JADES-GS+53.15603-27.78098, 53.15603, -27.78098  ,  6.5893  ,  0.0687  ,  -1.0  
JADES-GS+53.15199-27.75676, 53.15199, -27.75676  ,  6.5993  ,  0.0670  ,  -1.0  
JADES-GS+53.17143-27.75516, 53.17143, -27.75516  ,  6.5995  ,  0.0587  ,  -1.0  
JADES-GS+53.12553-27.78672, 53.12553, -27.78672  ,  6.6192  ,  0.0735  ,  -1.0  
JADES-GS+53.15804-27.78632, 53.15804, -27.78632  ,  6.6195  ,  0.0580  ,  -1.0  
JADES-GS+53.13742-27.76521, 53.13742, -27.76521  ,  6.6276  ,  0.1252  ,  -1.0  
JADES-GS+53.16905-27.77883, 53.16905, -27.77883  ,  6.6280  ,  0.0820  ,  -1.0  
JADES-GS+53.17428-27.76986, 53.17428, -27.76986  ,  6.6290  ,  0.0794  ,  -1.0  
JADES-GS+53.15005-27.74501, 53.15005, -27.74501  ,  6.6391  ,  0.0768  ,  -1.0  
JADES-GS+53.13029-27.77564, 53.13029, -27.77564  ,  6.6394  ,  0.0613  ,  -1.0  
JADES-GS+53.15905-27.81825, 53.15905, -27.81825  ,  6.6486  ,  0.0974  ,  -1.0  
JADES-GS+53.15159-27.78792, 53.15159, -27.78792  ,  6.6588  ,  0.0884  ,  -1.0  
JADES-GS+53.15506-27.81537, 53.15506, -27.81537  ,  6.6689  ,  0.0844  ,  -1.0  
JADES-GS+53.15495-27.81580, 53.15495, -27.81580  ,  6.6691  ,  0.0792  ,  -1.0  
JADES-GS+53.15535-27.81523, 53.15535, -27.81523  ,  6.6784  ,  0.1024  ,  -1.0  
JADES-GS+53.15430-27.82835, 53.15430, -27.82835  ,  6.6792  ,  0.0747  ,  -1.0  
JADES-GS+53.19081-27.79360, 53.19081, -27.79360  ,  6.6890  ,  0.0806  ,  -1.0  
JADES-GS+53.20159-27.75682, 53.20159, -27.75682  ,  6.6990  ,  0.0833  ,  -1.0  
JADES-GS+53.15579-27.81521, 53.15579, -27.81521  ,  6.7110  ,  0.0803  ,  -1.0  
JADES-GS+53.17743-27.78250, 53.17743, -27.78250  ,  6.7285  ,  0.0995  ,  -1.0  
JADES-GS+53.17732-27.78244, 53.17732, -27.78244  ,  6.7290  ,  0.0830  ,  -1.0  
JADES-GS+53.20570-27.75309, 53.20570, -27.75309  ,  6.7688  ,  0.0916  ,  -1.0  
JADES-GS+53.11818-27.79301, 53.11818, -27.79301  ,  6.7875  ,  0.0729  ,  -1.0  
JADES-GS+53.17737-27.79213, 53.17737, -27.79213  ,  6.8091  ,  0.0781  ,  -1.0  
JADES-GS+53.16505-27.76196, 53.16505, -27.76196  ,  6.8092  ,  0.0758  ,  -1.0  
JADES-GS+53.19331-27.76178, 53.19331, -27.76178  ,  6.8192  ,  0.0729  ,  -1.0  
JADES-GS+53.15559-27.78874, 53.15559, -27.78874  ,  6.8493  ,  0.0705  ,  -1.0  
JADES-GS+53.15985-27.77004, 53.15985, -27.77004  ,  6.8647  ,  0.0874  ,  -1.0  
JADES-GS+53.14555-27.78379, 53.14555, -27.78379  ,  6.8730  ,  0.0792  ,  -1.0  
JADES-GS+53.12718-27.78665, 53.12718, -27.78665  ,  6.8798  ,  0.0872  ,  -1.0  
JADES-GS+53.13907-27.80253, 53.13907, -27.80253  ,  6.8894  ,  0.0663  ,  -1.0  
JADES-GS+53.18091-27.77676, 53.18091, -27.77676  ,  6.9091  ,  0.0788  ,  -1.0  
JADES-GS+53.17488-27.74188, 53.17488, -27.74188  ,  6.9292  ,  0.0744  ,  -1.0  
JADES-GS+53.19735-27.80211, 53.19735, -27.80211  ,  6.9293  ,  0.0713  ,  -1.0  
JADES-GS+53.17128-27.80743, 53.17128, -27.80743  ,  6.9475  ,  0.0759  ,  -1.0  
JADES-GS+53.18478-27.74405, 53.18478, -27.74405  ,  6.9695  ,  0.0563  ,  -1.0  
JADES-GS+53.18857-27.75788, 53.18857, -27.75788  ,  6.9989  ,  0.0785  ,  -1.0  
JADES-GS+53.17688-27.78155, 53.17688, -27.78155  ,  7.0191  ,  0.0812  ,  -1.0  
JADES-GS+53.17799-27.82266, 53.17799, -27.82266  ,  7.0387  ,  0.0949  ,  -1.0  
JADES-GS+53.16241-27.75071, 53.16241, -27.75071  ,  7.0392  ,  0.0773  ,  -1.0  
JADES-GS+53.12986-27.77521, 53.12986, -27.77521  ,  7.0693  ,  0.0728  ,  -1.0  
JADES-GS+53.16190-27.73520, 53.16190, -27.73520  ,  7.0790  ,  0.0859  ,  -1.0  
JADES-GS+53.18148-27.76950, 53.18148, -27.76950  ,  7.1289  ,  0.0874  ,  -1.0  
JADES-GS+53.17954-27.77395, 53.17954, -27.77395  ,  7.1392  ,  0.0756  ,  -1.0  
JADES-GS+53.13805-27.78187, 53.13805, -27.78187  ,  7.1489  ,  0.0870  ,  -1.0  
JADES-GS+53.16555-27.77267, 53.16555, -27.77267  ,  7.1690  ,  0.0826  ,  -1.0  
JADES-GS+53.11353-27.79349, 53.11353, -27.79349  ,  7.1692  ,  0.0744  ,  -1.0  
JADES-GS+53.16469-27.78824, 53.16469, -27.78824  ,  7.2164  ,  0.0646  ,  -1.0  
JADES-GS+53.16483-27.78826, 53.16483, -27.78826  ,  7.2267  ,  0.0859  ,  -1.0  
JADES-GS+53.16170-27.78540, 53.16170, -27.78540  ,  7.2320  ,  0.0870  ,  -1.0  
JADES-GS+53.16957-27.73806, 53.16957, -27.73806  ,  7.2380  ,  0.0797  ,  -1.0  
JADES-GS+53.16869-27.73720, 53.16869, -27.73720  ,  7.2381  ,  0.0872  ,  -1.0  
JADES-GS+53.19356-27.76664, 53.19356, -27.76664  ,  7.2402  ,  0.0802  ,  -1.0  
JADES-GS+53.18375-27.79390, 53.18375, -27.79390  ,  7.2598  ,  0.0676  ,  -1.0  
JADES-GS+53.19106-27.79732, 53.19106, -27.79732  ,  7.2634  ,  0.0745  ,  -1.0  
JADES-GS+53.17976-27.77465, 53.17976, -27.77465  ,  7.2717  ,  0.0805  ,  -1.0  
JADES-GS+53.16579-27.82179, 53.16579, -27.82179  ,  7.2890  ,  0.0873  ,  -1.0  
JADES-GS+53.18334-27.79050, 53.18334, -27.79050  ,  7.2994  ,  0.0665  ,  -1.0  
JADES-GS+53.13219-27.78578, 53.13219, -27.78578  ,  7.3890  ,  0.0851  ,  -1.0  
JADES-GS+53.16638-27.81237, 53.16638, -27.81237  ,  7.3992  ,  0.0762  ,  -1.0  
JADES-GS+53.18405-27.79783, 53.18405, -27.79783  ,  7.4091  ,  0.0826  ,  -1.0  
JADES-GS+53.18536-27.77319, 53.18536, -27.77319  ,  7.4095  ,  0.0590  ,  -1.0  
JADES-GS+53.18393-27.79999, 53.18393, -27.79999  ,  7.4193  ,  0.0719  ,  -1.0  
JADES-GS+53.18301-27.78946, 53.18301, -27.78946  ,  7.4494  ,  0.0672  ,  -1.0  
JADES-GS+53.17685-27.79679, 53.17685, -27.79679  ,  7.4749  ,  0.0680  ,  -1.0  
JADES-GS+53.16714-27.81243, 53.16714, -27.81243  ,  7.4992  ,  0.0786  ,  -1.0  
JADES-GS+53.16610-27.82751, 53.16610, -27.82751  ,  7.5090  ,  0.0886  ,  -1.0  
JADES-GS+53.18224-27.77182, 53.18224, -27.77182  ,  7.5190  ,  0.0869  ,  -1.0  
JADES-GS+53.13563-27.79185, 53.13563, -27.79185  ,  7.7568  ,  0.0818  ,  -1.0  
JADES-GS+53.15683-27.76716, 53.15683, -27.76716  ,  7.9787  ,  0.1014  ,  -1.0  
JADES-GS+53.14414-27.79393, 53.14414, -27.79393  ,  8.1591  ,  0.0848  ,  -1.0  
JADES-GS+53.14585-27.82274, 53.14585, -27.82274  ,  8.2203  ,  0.0816  ,  -1.0  
JADES-GS+53.14591-27.82280, 53.14591, -27.82280  ,  8.2242  ,  0.0841  ,  -1.0  
JADES-GS+53.20989-27.77928, 53.20989, -27.77928  ,  8.3589  ,  0.0948  ,  -1.0  
JADES-GS+53.18354-27.77016, 53.18354, -27.77016  ,  8.3836  ,  0.0902  ,  -1.0  
JADES-GS+53.16447-27.80219, 53.16447, -27.80219  ,  8.4700  ,  0.0902  ,  -1.0  
JADES-GS+53.15337-27.82526, 53.15337, -27.82526  ,  8.5091  ,  0.0861  ,  -1.0  
JADES-GS+53.15891-27.76507, 53.15891, -27.76507  ,  8.5091  ,  0.0865  ,  -1.0  
JADES-GS+53.15633-27.83128, 53.15633, -27.83128  ,  8.5487  ,  0.1037  ,  -1.0  
JADES-GS+53.14091-27.77279, 53.14091, -27.77279  ,  8.5589  ,  0.0961  ,  -1.0  
JADES-GS+53.17603-27.81740, 53.17603, -27.81740  ,  8.8985  ,  0.1151  ,  -1.0  