           id        ,  ra        ,    dec     ,  zspec , fwhm_broad_halpha, fwhm_broad_halpha_up, fwhm_broad_halpha_lo, log_mbh, log_mbh_up, log_mbh_lo, log_lbol, log_lbol_up, log_lbol_lo, edd_ratio, edd_ratio_up, edd_ratio_lo, grating
       gdn_4762_16620, 189.071156 ,  62.169815 , 0.8451 , 2960 , 240, -190 , 6.79 , 0.0158, -0.0165 ,   43.8 , 0.010, -0.010 , 0.0902, 0.0016, -0.00 ,    g140m
     jades_1181_25055, 189.160382 ,  62.227502 , 1.0169 , 2080 , 210, -190 , 6.17 , 0.0387, -0.0408 , 43.3 , 0.0178, -0.0192 , 0.0968, 0.0035, -0.00 ,    g140m
 suspense_2110_130040, 150.527420 ,   2.476694 , 1.1701 , 2410 , 220, -170 , 6.48 , 0.0378, -0.0312 , 43.5 , 0.0152, -0.0146 , 0.0805, 0.0021, -0.00 ,    g140m
 suspense_2110_128452, 150.502426 ,   2.450619 , 1.2054 , 2900 , 680, -290 , 6.94 , 0.0143, -0.0123 , 43.9 , 0.0232, -0.0129 , 0.0751, 0.0023, -0.00 ,    g140m
     jades_1181_64818, 189.026770 ,  62.289835 , 1.3597 , 1220 , 120, -120 , 5.92 , 0.0269, -0.0382 ,   44.1 , 0.010, -0.010 , 1.3314, 0.0770, -0.08 ,    g140m
     jades_1180_44271,  53.121652 , -27.737087 , 1.4704 ,   1100 , 80, -90 , 5.71 , 0.0253, -0.0375 , 43.7 , 0.010, -0.0156 , 0.8128, 0.0286, -0.05 ,    g140m
 suspense_2110_130647, 150.486252 ,   2.486455 , 1.5078 ,   2120 , 40, -60 , 6.76 , 0.0102, -0.0148 ,   44.1 , 0.010, -0.010 , 0.1729, 0.0017, -0.00 ,    g140m
    excels_3543_69759,  34.348536 ,  -5.206934 , 1.5326 , 2270 , 480, -400 , 6.32 , 0.0484, -0.0468 , 43.3 , 0.0309, -0.010 , 0.0687, 0.0044, -0.00 ,    g140m
     goodsn_1211_1795, 189.066844 ,  62.185505 , 1.6727 , 2090 , 190, -190 , 6.91 , 0.0197, -0.0165 , 44.3 , 0.0151, -0.02 , 0.1990, 0.0053, -0.010 ,    g140m
     jades_1181_23924, 189.032050 ,  62.250886 , 1.6755 , 1950 , 150, -130 , 6.56 , 0.0264, -0.0389 , 44.4 , 0.010, -0.0102 , 0.4933, 0.0256, -0.03 ,   g235h
     jades_1181_34145, 189.121246 ,  62.314985 , 1.7779 ,  1400 , 110, -70 , 6.2 , 0.0161, -0.0165 ,  44.0 , 0.010, -0.012 , 0.4718, 0.0105, -0.010 ,   g235h
     goodsn_1211_4319, 189.270307 ,  62.267102 , 1.8097 , 1550 , 360, -580 , 6.38 , 0.0537, -0.0504 ,  43.9 , 0.061, -0.010 , 0.2508, 0.0208, -0.02 ,   g235h
   excels_3543_102901,  34.379313 ,  -5.156950 , 1.8180 ,  4030 , 110, -90 ,   7.61 , 0.010, -0.010 ,   44.7 , 0.010, -0.010 , 0.0951, 0.0006, -0.00 ,   g235h
 macs1149_2758_150471, 177.425171 ,  22.465952 , 1.8498 ,   2360 , 30, -30 ,   7.05 , 0.010, -0.010 ,   44.4 , 0.010, -0.010 , 0.1838, 0.0008, -0.00 ,   g235h
    bluejay_1810_7185, 150.105835 ,   2.251845 , 1.8502 , 2620 , 1910, -2170 , 5.53 , 0.0636, -0.0304 ,   43.7 , 0.010, -0.010 , 1.2012, 0.1905, -0.09 ,   g235h
   bluejay_1810_19572, 150.133196 ,   2.378721 , 1.8673 , 1840 , 220, -200 , 6.31 , 0.0322, -0.0315 , 43.7 , 0.017, -0.0169 , 0.1739, 0.0051, -0.00 ,   g235h
        gto_1214_2937, 150.186564 ,   2.455311 , 1.8676 , 1890 , 350, -260 , 6.57 , 0.0422, -0.0412 , 44.0 , 0.0189, -0.0244 , 0.1964, 0.0090, -0.010 ,   g235h
    bluejay_1810_8500, 150.083479 ,   2.266050 , 1.8693 ,  1280 , 110, -100 , 5.5 , 0.0289, -0.0306 , 43.7 , 0.0101, -0.0123 , 1.3176, 0.0605, -0.05 ,   g235m
        gto_1215_4250,  34.423424 ,  -5.271182 , 1.9116 ,     4550 , 10, -200 , 7.74 , 0.0125, -0.0125 ,   44.5 , 0.010, -0.010 , 0.0502, 0.0005, -0.00 ,   g235m
   bluejay_1810_16419, 150.095610 ,   2.350069 , 1.9257 , 3040 , 540, -420 , 6.79 , 0.0364, -0.0383 , 43.6 , 0.0201, -0.010 , 0.0483, 0.0027, -0.00 ,   g235m
     jades_1181_26194, 189.171754 ,  62.237978 , 1.9881 , 1210 , 560, -380 , 6.18 , 0.0308, -0.044 , 44.4 , 0.0108, -0.0129 , 1.3711, 0.0711, -0.06 ,   g235m
   bluejay_1810_18688, 150.133502 ,   2.370408 , 2.0070 , 1550 , 240, -240 , 6.23 , 0.0363, -0.0476 , 43.8 , 0.0193, -0.0281 , 0.2957, 0.0114, -0.010 ,   g235m
      ceers_1345_2904, 215.048077 ,  52.968341 , 2.0250 , 3010 , 590, -450 , 6.78 , 0.0562, -0.0581 , 43.7 , 0.017, -0.019 , 0.0646, 0.0022, -0.00 ,   g235m
   bluejay_1810_18668, 150.129272 ,   2.369564 , 2.0856 , 1790 , 160, -160 , 6.26 , 0.0332, -0.0442 , 43.8 , 0.0121, -0.015 , 0.2429, 0.0096, -0.010 ,   g235m
   bluejay_1810_18977, 150.146497 ,   2.372308 , 2.0861 ,     4550 , 10, -200 ,   7.56 , 0.010, -0.010 ,   44.3 , 0.010, -0.010 , 0.0400, 0.0003, -0.00 ,   g235m
   bluejay_1810_12020, 150.074554 ,   2.301999 , 2.0934 ,   4180 , 50, -70 ,   7.84 , 0.010, -0.010 ,   44.8 , 0.010, -0.010 , 0.0704, 0.0003, -0.00 ,   g235m
   bluejay_1810_11337, 150.119519 ,   2.295778 , 2.0950 ,   2650 , 30, -20 ,   7.33 , 0.010, -0.010 ,   44.7 , 0.010, -0.010 , 0.1701, 0.0006, -0.00 ,   g235m
     cosmos_1879_2342, 150.121785 ,   2.213211 , 2.0986 ,   1940 , 70, -90 , 6.47 , 0.0134, -0.0168 ,   43.8 , 0.010, -0.010 , 0.1663, 0.0022, -0.00 ,   g235m
   bluejay_1810_10314, 150.085725 ,   2.285124 , 2.0996 , 1940 , 20, -4080 ,   6.81 , 0.82, -0.010 ,  44.4 , 0.209, -0.010 , 0.3054, 1.0732, -0.57 ,   g235m
        gto_1214_1158, 150.132576 ,   2.212071 , 2.1083 , 3770 , 830, -900 , 7.5 , 0.0426, -0.0455 , 44.5 , 0.0154, -0.0183 , 0.0707, 0.0030, -0.00 ,   g235m
        gto_1215_4909,  34.373619 ,  -5.185003 , 2.2078 , 2960 , 100, -100 ,    7.4 , 0.010, -0.010 ,   44.6 , 0.010, -0.010 , 0.1351, 0.0011, -0.00 ,   g235m
      gds_1207_209962,  53.131145 , -27.773187 , 2.2245 ,   2160 , 20, -20 ,   7.19 , 0.010, -0.010 ,   44.7 , 0.010, -0.010 , 0.2746, 0.0014, -0.00 ,   g235m
      cecilia_2593_25, 356.637130 ,  12.803911 , 2.2265 ,    1050 , 40, -20 ,   5.71 , 0.010, -0.010 ,   44.2 , 0.010, -0.010 , 2.7509, 0.0320, -0.04 ,   g235m
     jades_1181_27887, 189.150275 ,  62.249733 , 2.2313 , 1340 , 160, -150 , 5.98 , 0.0444, -0.0551 , 44.1 , 0.010, -0.0103 , 1.0199, 0.0993, -0.09 ,   g235m
     goodsn_1211_4151, 189.324563 ,  62.315454 , 2.2409 ,     4550 , 10, -200 ,   7.91 , 0.010, -0.010 ,   44.8 , 0.010, -0.010 , 0.0612, 0.0003, -0.00 ,   g235m
      cecilia_2593_29, 356.621640 ,  12.817598 , 2.2427 , 1170 , 140, -240 , 5.75 , 0.0167, -0.036 ,   44.1 , 0.010, -0.010 , 1.8283, 0.0670, -0.13 ,   g235m
        gto_1215_3088,  34.412371 ,  -5.267760 , 2.2553 , 1710 , 570, -300 , 6.65 , 0.0379, -0.0511 , 44.2 , 0.041, -0.0211 , 0.2605, 0.0233, -0.02 ,   g235m
 valentino_3567_55536,  34.450763 ,  -5.127912 , 2.2558 , 2020 , 410, -250 , 6.37 , 0.0367, -0.0475 , 43.9 , 0.0118, -0.0117 , 0.2622, 0.0127, -0.010 ,   g235m
     jades_1181_28074, 189.064589 ,  62.273815 , 2.2600 ,   3850 , 30, -20 ,   7.83 , 0.010, -0.010 ,   44.9 , 0.010, -0.010 , 0.0881, 0.0003, -0.00 ,   g235m
      lyc22_1869_4096, 334.251380 ,   0.332309 , 2.2762 ,     4550 , 10, -200 ,   8.39 , 0.010, -0.010 ,   45.5 , 0.010, -0.010 , 0.1091, 0.0003, -0.00 ,   g235m
    valentino_3567_71,  34.761581 ,  -5.361252 , 2.2848 ,  2340 , 90, -250 , 6.76 , 0.010, -0.0319 , 44.0 , 0.010, -0.0888 , 0.1252, 0.0019, -0.010 ,   g235m
 valentino_3567_40904,  34.408978 ,  -5.148414 , 2.2903 ,  3060 , 120, -3960 ,  6.92 , 0.977, -0.010 , 43.9 , 0.0131, -0.010 , 0.0770, 0.4564, -0.25 ,   g235m
     aurora_1914_5469, 150.179276 ,   2.233684 , 2.2997 ,   2160 , 40, -40 ,    6.7 , 0.010, -0.010 ,   43.9 , 0.010, -0.010 , 0.1312, 0.0018, -0.00 ,   g235m
        gto_1215_3470,  34.512380 ,  -5.189235 , 2.3026 ,   4570 , 10, -690 , 7.48 , 0.0329, -0.029 ,   44.2 , 0.010, -0.010 , 0.0468, 0.0006, -0.00 ,   g235m
     goodsn_1211_2460, 189.427236 ,  62.303289 , 2.3056 , 4130 , 190, -160 ,   7.86 , 0.010, -0.010 ,   44.9 , 0.010, -0.010 , 0.0774, 0.0006, -0.00 ,   g235m
     cosmos_1879_1295, 150.125800 ,   2.199290 , 2.3057 ,   1220 , 70, -90 , 5.92 , 0.0253, -0.0225 ,   44.3 , 0.010, -0.010 , 1.7305, 0.1004, -0.07 ,   g235m
     jades_1181_29711, 189.196910 ,  62.284104 , 2.3204 , 1720 , 210, -170 , 6.35 , 0.0275, -0.0255 , 44.0 , 0.010, -0.0104 , 0.3584, 0.0147, -0.010 ,   g235m
       gds_1671_37005,  53.154439 , -27.738678 , 2.3277 , 1940 , 170, -120 , 6.35 , 0.048, -0.0319 , 43.9 , 0.0111, -0.010 , 0.2726, 0.0221, -0.010 ,   g235m
  cantalupo_1835_2044,  10.393484 , -49.562990 , 2.4047 ,    4550 , 10, -10 ,   7.96 , 0.010, -0.010 ,   44.9 , 0.010, -0.010 , 0.0729, 0.0001, -0.00 ,   g235m
  valentino_3567_3285,  36.736799 ,  -4.547720 , 2.4193 , 1450 , 140, -150 , 6.42 , 0.0222, -0.0305 , 44.2 , 0.0133, -0.0143 , 0.5268, 0.0201, -0.02 ,   g235m
  valentino_3567_5276, 149.949929 ,   2.079299 , 2.4325 , 1690 , 360, -320 , 6.27 , 0.0646, -0.0742 , 43.6 , 0.0426, -0.0688 , 0.1820, 0.0128, -0.010 ,   g235m
   bluejay_1810_11142, 150.073292 ,   2.293290 , 2.4465 , 2700 , 170, -140 , 6.84 , 0.0189, -0.0215 ,   43.8 , 0.010, -0.010 , 0.0757, 0.0020, -0.00 ,   g235m
       cecilia_2593_4, 356.614369 ,  12.786432 , 2.4498 ,    1050 , 10, -30 , 5.84 , 0.0263, -0.016 ,   44.6 , 0.010, -0.010 , 4.7643, 0.2747, -0.18 ,   g235m
   bluejay_1810_12148, 150.118698 ,   2.302685 , 2.4612 ,  1200 , 80, -110 , 5.94 , 0.0227, -0.0292 ,   44.2 , 0.010, -0.010 , 1.5871, 0.0724, -0.10 ,   g235m
 valentino_3567_54545, 150.108418 ,   2.378934 , 2.4616 ,  1030 , 110, -110 , 5.44 , 0.0296, -0.0426 ,   44.0 , 0.010, -0.010 , 2.8851, 0.1573, -0.18 ,   g235m
   bluejay_1810_19705, 150.107752 ,   2.379484 , 2.4650 , 2280 , 280, -180 , 6.51 , 0.0378, -0.0291 ,   43.9 , 0.010, -0.010 , 0.1808, 0.0089, -0.00 ,   g235m
 valentino_3567_54546, 150.107754 ,   2.379469 , 2.4669 ,  1870 , 80, -100 , 6.58 , 0.0146, -0.0136 ,   44.2 , 0.010, -0.010 , 0.3636, 0.0071, -0.010 ,   g235m
   bluejay_1810_19891, 150.086225 ,   2.381412 , 2.4675 , 1190 , 210, -140 , 5.92 , 0.0363, -0.0497 , 44.0 , 0.0121, -0.0133 , 1.0231, 0.0701, -0.06 ,   g235m
     goodsn_1211_5243, 189.154664 ,  62.274602 , 2.4835 ,  1010 , 320, -150 , 5.99 , 0.0348, -0.0418 , 44.3 , 0.0164, -0.0196 , 1.7602, 0.1129, -0.10 ,   g235m
    aurora_1914_26798, 189.154584 ,  62.274625 , 2.4836 ,   1300 , 90, -60 , 6.12 , 0.0108, -0.0139 ,   44.2 , 0.010, -0.010 , 1.0639, 0.0203, -0.02 ,   g235m
valentino_3567_136272,  34.452493 ,  -5.154707 , 2.4893 , 1470 , 100, -100 , 6.17 , 0.0108, -0.0147 ,   43.9 , 0.010, -0.010 , 0.3854, 0.0061, -0.00 ,   g235m
 macs1149_2758_150337, 177.468506 ,  22.514523 , 2.4919 , 1060 , 1150, -250 , 5.29 , 0.0373, -0.0452 , 43.5 , 0.0177, -0.0164 , 1.3078, 0.1336, -0.08 ,   g235m
    bluejay_1810_8280, 150.086472 ,   2.264299 , 2.4943 ,   2870 , 80, -80 ,   7.17 , 0.010, -0.010 ,   44.4 , 0.010, -0.010 , 0.1259, 0.0009, -0.00 ,   g235m
        gto_1213_9063, 215.094680 ,  52.998226 , 2.5131 , 1770 , 300, -250 , 6.52 , 0.0508, -0.0571 , 44.0 , 0.0335, -0.0345 , 0.2230, 0.0126, -0.010 ,   g235m
    valentino_3567_24,  34.778169 ,  -5.366900 , 2.5405 ,  1290 , 100, -60 , 6.38 , 0.0112, -0.010 , 44.3 , 0.0146, -0.010 , 0.6143, 0.0183, -0.010 ,   g235m
   valentino_3567_406,  34.786143 ,  -5.335534 , 2.5471 , 3000 , 150, -130 , 6.87 , 0.0106, -0.0117 ,   43.9 , 0.010, -0.010 , 0.0781, 0.0009, -0.00 ,   g235m
  macs1149_2758_40151, 177.425232 ,  22.468645 , 2.5750 , 1080 , 130, -130 , 5.4 , 0.0329, -0.0391 ,   43.6 , 0.010, -0.010 , 1.3218, 0.1070, -0.10 ,   g235m
  valentino_3567_4301,  36.725819 ,  -4.533482 , 2.5826 , 1390 , 110, -140 , 6.43 , 0.0251, -0.0173 , 44.2 , 0.0164, -0.0185 , 0.4746, 0.0136, -0.02 ,   g235m
    jades_1180_107700,  53.146178 , -27.779934 , 2.5830 , 1660 , 160, -170 , 6.33 , 0.0233, -0.0233 , 43.9 , 0.013, -0.0129 , 0.2756, 0.0083, -0.010 ,   g235m
      jades_1180_5807,  53.185848 , -27.810034 , 2.5913 , 1710 , 120, -120 , 6.41 , 0.0208, -0.0259 , 44.1 , 0.010, -0.0102 , 0.3583, 0.0092, -0.010 ,   g235m
     jades_1286_37746,  53.182003 , -27.814182 , 2.6151 , 1490 , 160, -140 , 6.12 , 0.0213, -0.0294 , 43.7 , 0.013, -0.014 , 0.3238, 0.0099, -0.010 ,   g235m
    bluejay_1810_8002, 150.119934 ,   2.261021 , 2.6864 , 1910 , 230, -210 , 6.36 , 0.0374, -0.03 ,   44.2 , 0.010, -0.010 , 0.5792, 0.0471, -0.03 ,   g235m
      gds_1207_208030,  53.180521 , -27.779717 , 2.6935 ,   1820 , 90, -80 ,   6.56 , 0.010, -0.010 ,   44.1 , 0.010, -0.010 , 0.2627, 0.0041, -0.00 ,   g235m
      jades_1180_6112,  53.178704 , -27.802697 , 2.6948 , 1670 , 340, -260 , 6.28 , 0.0452, -0.0443 , 43.7 , 0.0267, -0.0256 , 0.2177, 0.0109, -0.010 ,   g235m
   cosmos_4318_126981, 150.461199 ,   2.429556 , 2.8003 , 1890 , 220, -160 , 6.36 , 0.0272, -0.0248 , 43.6 , 0.0155, -0.0153 , 0.1547, 0.0042, -0.00 ,   g235m
    excels_3543_98447,  34.374528 ,  -5.163477 , 2.8037 ,  4550 , 10, -270 , 6.95 , 0.102, -0.116 , 43.3 , 0.010, -0.0216 , 0.0165, 0.0019, -0.00 ,   g235m
      gds_1207_201027,  53.126930 , -27.804682 , 2.8720 ,   1660 , 70, -60 , 6.49 , 0.017, -0.0125 , 44.0 , 0.0129, -0.015 , 0.2390, 0.0044, -0.00 ,   g235m
 valentino_3567_44021, 214.876286 ,  52.852347 , 2.8968 ,   1960 , 20, -30 ,   6.98 , 0.010, -0.010 ,   44.5 , 0.010, -0.010 , 0.2538, 0.0016, -0.00 ,   g235m
       jades_1181_721, 189.153759 ,  62.222323 , 2.9436 ,   2670 , 40, -30 ,   7.32 , 0.010, -0.010 ,   44.6 , 0.010, -0.010 , 0.1482, 0.0007, -0.00 ,   g235m
     jades_1181_28428, 189.235679 ,  62.253620 , 2.9579 ,   2160 , 90, -90 , 6.82 , 0.0145, -0.0128 ,   44.1 , 0.010, -0.010 , 0.1651, 0.0025, -0.00 ,   g235m
     jades_1181_23367, 189.201153 ,  62.248935 , 2.9800 , 1280 , 1230, -300 , 6.0 , 0.0381, -0.0524 , 43.8 , 0.0617, -0.0698 , 0.4867, 0.0647, -0.06 ,   g235m
 valentino_3567_10480, 149.416615 ,   2.042305 , 2.9827 , 1540 , 120, -110 , 6.36 , 0.0175, -0.0256 ,   44.4 , 0.010, -0.010 , 0.8038, 0.0265, -0.03 ,   g235m
